cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19
alcohol,receptor,brain,hiv,liver,cell,age,patient,children,infect,parasit,heart,gene,imag,lung,diseas,cancer,protein,dna,pathogen
smoke,tumor,disord,infect,diseas,stem,sleep,treatment,obes,virus,iron,failur,express,kidney,injuri,mechan,breast,drug,genet,bacteri
tobacco,signal,neuron,1,hepat,tumor,relat,pain,intervent,vaccin,malaria,cardiac,diseas,method,inflamm,human,tumor,structur,genom,bacteria
cocain,activ,function,aid,fatti,cancer,cognit,improv,risk,immun,drug,diseas,human,develop,diseas,regul,prostat,diseas,human,antibiot
addict,target,memori,risk,alcohol,immun,diseas,effect,diabet,viral,infect,caus,regul,diseas,inflammatori,signal,cell,develop,diseas,infect
effect,regul,neural,intervent,cancer,diseas,declin,clinic,behavior,cell,diseas,death,mutat,patient,asthma,cell,therapi,target,sequenc,resist
abus,cell,circuit,drug,cirrhosi,regul,older,care,adolesc,host,caus,blood,develop,mri,pulmonari,develop,target,function,repair,host
drink,mechan,develop,prevent,metabol,develop,function,develop,effect,respons,develop,attack,genet,clinic,mechan,function,develop,biolog,mutat,diseas
behavior,therapeut,mechan,transmiss,caus,mechan,increas,therapi,prevent,human,human,lead,identifi,detect,airway,molecular,patient,enzym,cancer,immun
treatment,role,cognit,antiretrovir,develop,function,popul,diseas,social,develop,host,mechan,caus,improv,acut,pathway,treatment,membran,chromosom,human
